time,temp
1727810272.684401,29.9
1727810272.7998078,29.9
1727810272.958451,29.4
1727810273.0719554,23.5
1727810273.2358685,23.5
1727810273.3928514,31.1
1727810273.5053325,31.1
1727810273.6727502,29.5
1727810273.8311055,29.5
1727810273.987288,31.2
1727810274.1007292,25.3
1727810274.2532306,25.3
1727810274.4109623,33.2
1727810274.5685475,33.2
1727810274.724898,36.3
1727810274.8372145,28.2
1727810275.0050533,28.2
1727810275.1179748,32.6
1727810275.2304196,32.6
1727810275.3453236,33.6
1727810275.5048425,33.6
1727810275.6158519,34.3
1727810275.7311957,34.3
1727810275.848805,28.9
1727810276.008162,28.9
1727810276.1641278,29.0
1727810276.279129,29.0
1727810276.3939536,33.3
1727810276.5538373,33.3
1727810276.669682,30.7
1727810276.833638,30.7
1727810276.988723,29.0
1727810277.2078347,33.3
1727810277.408213,28.7
1727810277.5490036,28.7
1727810277.736774,31.1
1727810277.8707526,27.5
1727810278.064923,27.5
1727810278.2361226,34.6
1727810278.348134,32.2
1727810278.4588385,32.2
1727810278.619946,28.3
1727810278.8032982,28.3
1727810278.9635684,32.4
1727810279.158193,34.4
1727810279.3614807,34.4
1727810279.6706936,31.3
1727810279.8682775,31.3
1727810280.1636066,36.9
1727810280.3493233,36.9
1727810280.552141,30.5
1727810280.7390735,33.3
1727810280.9580376,34.8
1727810281.1765373,30.9
1727810281.3946183,30.9
1727810281.6447728,30.8
1727810281.9091027,31.2
1727810282.1611602,31.5
1727810282.2738483,31.5
1727810282.429836,35.9
1727810282.5417917,35.9
1727810282.708573,32.2
1727810282.8661559,32.4
1727810282.9802983,32.4
1727810283.1450047,30.8
1727810283.304768,30.8
1727810283.4599686,31.1
1727810283.5719478,30.9
1727810283.689843,30.9
1727810283.806939,30.9
1727810283.9754596,31.6
1727810284.093581,24.1
1727810284.2543392,24.1
1727810284.3717928,36.1
1727810284.5361717,36.1
1727810284.6518369,28.0
1727810284.8163352,28.0
1727810284.9734745,33.1
1727810285.089385,29.9
1727810285.2062624,29.9
1727810285.321405,35.2
1727810285.4906342,35.2
1727810285.6471035,28.6
1727810285.7592545,28.6
1727810285.913802,29.5
1727810286.024475,29.5
1727810286.1820803,30.1
1727810286.4927592,33.5
1727810286.6034634,34.9
1727810286.8857076,29.3
1727810287.0472763,29.3
1727810287.2068498,29.1
1727810287.3973677,34.7
1727810287.517019,34.7
1727810287.7296362,31.6
1727810287.9918487,31.3
1727810288.1928685,32.8
1727810288.380462,32.4
1727810288.4921336,32.4
1727810288.6477776,30.9
1727810288.7600615,30.9
1727810288.9266672,28.7
1727810289.0850003,28.7
1727810289.1957917,35.1
1727810289.352301,35.1
1727810289.4684968,31.6
1727810289.6324682,29.9
1727810289.7897527,29.9
1727810289.905143,30.6
1727810290.0217934,30.6
1727810290.1836567,27.8
1727810290.3395934,27.8
1727810290.4977245,31.8
1727810290.6107125,32.3
1727810290.725254,32.3
1727810290.889706,34.8
1727810292.9007814,23.5
1727810293.0147204,23.5
1727810293.1700418,27.0
1727810293.3273685,27.0
1727810293.4835792,26.7
1727810293.5995035,28.3
